created_at,entry_id,field1,field2,field3,field4,field5
2025-01-04 16:22:20 UTC,1,18,17.59531,25.38000,64.84961,1011.01514
2025-01-04 16:22:36 UTC,2,113,110.45943,25.76000,63.98438,1011.01624
2025-01-04 16:22:52 UTC,3,148,144.67253,25.80000,63.87598,1011.00922
2025-01-04 16:23:08 UTC,4,151,147.60509,25.86000,63.97559,1011.03394
2025-01-04 16:23:25 UTC,5,147,143.69501,25.86000,63.63477,1010.99951
2025-01-04 16:23:42 UTC,6,142,138.80743,25.88000,63.55762,1011.00781
2025-01-04 16:23:58 UTC,7,133,130.00978,25.91000,63.45996,1010.99127
2025-01-04 16:24:14 UTC,8,128,125.12219,25.91000,63.41406,1010.96570
2025-01-04 16:24:35 UTC,9,133,130.00978,25.92000,63.34766,1011.02014
2025-01-04 16:24:51 UTC,10,127,124.14468,25.95000,63.31836,1010.97681
2025-01-04 16:25:07 UTC,11,124,121.21212,25.94000,63.27148,1010.99341
2025-01-04 16:25:23 UTC,12,123,120.23460,25.95000,63.20508,1010.97797
2025-01-04 16:25:40 UTC,13,120,117.30206,25.96000,63.18164,1010.99829
2025-01-04 16:25:57 UTC,14,116,113.39198,25.95000,63.14746,1010.97021
2025-01-04 16:26:13 UTC,15,69,67.44868,26.40000,69.99316,1010.98834
2025-01-04 16:26:29 UTC,16,109,106.54936,26.36000,62.45410,1011.01868
2025-01-04 16:26:47 UTC,17,114,111.43695,26.20000,62.43066,1010.99445
2025-01-04 16:27:03 UTC,18,105,102.63930,26.12000,62.64844,1011.01984
2025-01-04 16:27:19 UTC,19,109,106.54936,26.07000,62.73242,1010.97424
2025-01-04 16:27:35 UTC,20,100,97.75171,26.05000,62.77441,1010.97369
2025-01-04 16:27:52 UTC,21,106,103.61681,26.03000,62.80762,1010.98486
2025-01-04 16:28:07 UTC,22,103,100.68427,26.01000,62.91699,1010.96558
2025-01-04 16:28:24 UTC,23,102,99.70674,26.02000,62.91797,1010.99921
2025-01-04 16:28:40 UTC,24,100,97.75171,26.04000,62.88672,1010.98865
2025-01-04 16:28:58 UTC,25,99,96.77419,26.03000,62.86426,1011.00269
2025-01-04 16:29:14 UTC,26,98,95.79668,26.04000,62.86426,1010.99811
2025-01-04 16:29:31 UTC,27,97,94.81916,26.05000,62.83105,1010.97546
2025-01-04 16:29:47 UTC,28,94,91.88660,26.04000,62.84082,1010.95001
2025-01-04 16:30:04 UTC,29,93,90.90909,26.03000,62.82813,1010.95825
2025-01-04 16:30:20 UTC,30,93,90.90909,26.04000,62.83105,1010.96307
2025-01-04 16:30:36 UTC,31,90,87.97654,26.04000,62.80859,1010.98859
2025-01-04 16:30:52 UTC,32,84,82.11143,26.04000,62.83105,1010.93640
2025-01-04 16:31:08 UTC,33,84,82.11143,26.05000,62.84277,1010.95349
2025-01-04 16:31:24 UTC,34,88,86.02151,26.04000,62.77344,1011.00702
2025-01-04 16:31:40 UTC,35,88,86.02151,26.04000,62.77344,1010.95538
2025-01-04 16:31:56 UTC,36,87,85.04399,26.05000,62.74023,1010.93030
2025-01-04 16:32:12 UTC,37,86,84.06647,26.06000,62.74316,1010.98529
2025-01-04 16:32:28 UTC,38,86,84.06647,26.05000,62.69434,1010.93500
2025-01-04 16:32:44 UTC,39,85,83.08895,26.07000,62.67480,1010.94830
2025-01-04 16:33:01 UTC,40,84,82.11143,26.06000,62.69727,1010.94623
2025-01-04 16:33:17 UTC,41,76,74.29130,26.07000,62.65332,1010.93451
2025-01-04 16:33:33 UTC,42,84,82.11143,26.08000,62.62988,1010.94159
2025-01-04 16:33:49 UTC,43,81,79.17889,26.06000,62.65137,1010.95331
2025-01-04 16:34:05 UTC,44,81,79.17889,26.06000,62.62891,1010.93909
2025-01-04 16:34:22 UTC,45,80,78.20137,26.07000,62.58496,1010.94397
2025-01-04 16:34:38 UTC,46,74,72.33627,26.06000,62.59473,1010.96576
2025-01-04 16:34:54 UTC,47,79,77.22385,26.06000,62.57227,1010.93732
2025-01-04 16:35:11 UTC,48,78,76.24634,26.05000,62.58105,1010.97778
2025-01-04 16:35:28 UTC,49,78,76.24634,26.04000,62.59277,1010.93158
2025-01-04 16:35:44 UTC,50,78,76.24634,26.03000,62.59082,1010.95459
2025-01-04 16:36:00 UTC,51,77,75.26881,26.04000,62.56934,1010.96844
2025-01-04 16:36:17 UTC,52,77,75.26881,26.02000,62.61133,1010.96545
2025-01-04 16:36:34 UTC,53,76,74.29130,26.01000,62.58691,1010.94952
2025-01-04 16:36:50 UTC,54,76,74.29130,26.01000,62.57715,1010.94653
2025-01-04 16:37:06 UTC,55,76,74.29130,26.01000,62.57715,1010.97327
2025-01-04 16:37:22 UTC,56,75,73.31378,26.01000,62.55469,1010.95007
2025-01-04 16:37:39 UTC,57,68,66.47116,26.02000,62.56543,1010.91687
2025-01-04 16:37:55 UTC,58,75,73.31378,26.01000,62.55469,1010.95367
2025-01-04 16:38:11 UTC,59,75,73.31378,26.02000,62.55469,1010.91327
2025-01-04 16:38:27 UTC,60,67,65.49364,26.02000,62.50879,1010.97968
2025-01-04 16:38:44 UTC,61,74,72.33627,26.02000,62.52148,1010.93939
2025-01-04 16:39:00 UTC,62,74,72.33627,26.01000,62.54297,1010.94122
2025-01-04 16:39:16 UTC,63,72,70.38123,26.02000,62.54297,1010.93164
2025-01-04 16:39:32 UTC,64,72,70.38123,26.02000,62.56543,1010.94708
2025-01-04 16:39:49 UTC,65,72,70.38123,25.99000,62.60840,1010.94061
2025-01-04 16:40:05 UTC,66,72,70.38123,25.99000,62.61914,1010.92700
